0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:39:46 -0300] "GET /agora-vai/css/bootstrap.css HTTP/1.1" 200 198134
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:39:46 -0300] "GET /agora-vai/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:39:46 -0300] "GET /agora-vai/js/bootstrap.js HTTP/1.1" 200 135565
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:39:46 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:00:21 -0300] "GET /agora-vai/login.html HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:00:21 -0300] "GET /agora-vai/css/bootstrap.css HTTP/1.1" 200 198134
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:00:21 -0300] "GET /agora-vai/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:00:21 -0300] "GET /agora-vai/js/bootstrap.js HTTP/1.1" 200 135565
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:00:21 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:00:28 -0300] "GET /agora-vai/login.html?txt-user=a&txt-pass=a HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:01:40 -0300] "GET /agora-vai/login.html?txt-user=a&txt-pass=a HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:01:41 -0300] "GET /agora-vai/login.html?txt-user=a&txt-pass=a HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:01:41 -0300] "GET /agora-vai/css/bootstrap.css HTTP/1.1" 200 198134
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:01:41 -0300] "GET /agora-vai/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:01:41 -0300] "GET /agora-vai/js/bootstrap.js HTTP/1.1" 200 135565
0:0:0:0:0:0:0:1 - - [07/Aug/2020:21:01:41 -0300] "GET /favicon.ico HTTP/1.1" 404 762
